Rack,Row,Front,Back,Floor,TileNumber,Building,Hall
H1CD,CD,C,D,2,6,Mill Race,1
H1CD,CD,C,D,2,7,Mill Race,1
H1CD,CD,C,D,2,8,Mill Race,1
H1CD,CD,C,D,2,9,Mill Race,1
H1CD,CD,C,D,2,10,Mill Race,1
H1CD,CD,C,D,2,11,Mill Race,1
H1CD,CD,C,D,2,12,Mill Race,1
H1CD,CD,C,D,2,13,Mill Race,1
H1CD,CD,C,D,2,14,Mill Race,1
H1CD,CD,C,D,2,20,Mill Race,1
H1CD,CD,C,D,2,21,Mill Race,1
H1CD,CD,C,D,2,22,Mill Race,1
H1CD,CD,C,D,2,23,Mill Race,1
H1CD,CD,C,D,2,24,Mill Race,1
H1CD,CD,C,D,2,25,Mill Race,1
H1CD,CD,C,D,2,26,Mill Race,1
H1CD,CD,C,D,2,27,Mill Race,1
H1CD,CD,C,D,2,28,Mill Race,1
H1GH,GH,H,G,2,6,Mill Race,1
H1GH,GH,H,G,2,7,Mill Race,1
H1GH,GH,H,G,2,8,Mill Race,1
H1GH,GH,H,G,2,9,Mill Race,1
H1GH,GH,H,G,2,10,Mill Race,1
H1GH,GH,H,G,2,11,Mill Race,1
H1GH,GH,H,G,2,12,Mill Race,1
H1GH,GH,H,G,2,13,Mill Race,1
H1GH,GH,H,G,2,14,Mill Race,1
H1GH,GH,H,G,2,20,Mill Race,1
H1GH,GH,H,G,2,21,Mill Race,1
H1GH,GH,H,G,2,22,Mill Race,1
H1GH,GH,H,G,2,23,Mill Race,1
H1GH,GH,H,G,2,24,Mill Race,1
H1GH,GH,H,G,2,25,Mill Race,1
H1GH,GH,H,G,2,26,Mill Race,1
H1GH,GH,H,G,2,27,Mill Race,1
H1GH,GH,H,G,2,28,Mill Race,1
H1KL,KL,K,L,2,6,Mill Race,1
H1KL,KL,K,L,2,7,Mill Race,1
H1KL,KL,K,L,2,8,Mill Race,1
H1KL,KL,K,L,2,9,Mill Race,1
H1KL,KL,K,L,2,10,Mill Race,1
H1KL,KL,K,L,2,11,Mill Race,1
H1KL,KL,K,L,2,12,Mill Race,1
H1KL,KL,K,L,2,13,Mill Race,1
H1KL,KL,K,L,2,14,Mill Race,1
H1KL,KL,K,L,2,20,Mill Race,1
H1KL,KL,K,L,2,21,Mill Race,1
H1KL,KL,K,L,2,22,Mill Race,1
H1KL,KL,K,L,2,23,Mill Race,1
H1KL,KL,K,L,2,24,Mill Race,1
H1KL,KL,K,L,2,25,Mill Race,1
H1KL,KL,K,L,2,26,Mill Race,1
H1KL,KL,K,L,2,27,Mill Race,1
H1KL,KL,K,L,2,28,Mill Race,1
H1OP,OP,P,O,2,6,Mill Race,1
H1OP,OP,P,O,2,7,Mill Race,1
H1OP,OP,P,O,2,8,Mill Race,1
H1OP,OP,P,O,2,9,Mill Race,1
H1OP,OP,P,O,2,10,Mill Race,1
H1OP,OP,P,O,2,11,Mill Race,1
H1OP,OP,P,O,2,12,Mill Race,1
H1OP,OP,P,O,2,13,Mill Race,1
H1OP,OP,P,O,2,14,Mill Race,1
H1OP,OP,P,O,2,20,Mill Race,1
H1OP,OP,P,O,2,21,Mill Race,1
H1OP,OP,P,O,2,22,Mill Race,1
H1OP,OP,P,O,2,23,Mill Race,1
H1OP,OP,P,O,2,24,Mill Race,1
H1OP,OP,P,O,2,25,Mill Race,1
H1OP,OP,P,O,2,26,Mill Race,1
H1OP,OP,P,O,2,27,Mill Race,1
H1OP,OP,P,O,2,28,Mill Race,1
H1ST,ST,S,T,2,6,Mill Race,1
H1ST,ST,S,T,2,7,Mill Race,1
H1ST,ST,S,T,2,8,Mill Race,1
H1ST,ST,S,T,2,9,Mill Race,1
H1ST,ST,S,T,2,10,Mill Race,1
H1ST,ST,S,T,2,11,Mill Race,1
H1ST,ST,S,T,2,12,Mill Race,1
H1ST,ST,S,T,2,13,Mill Race,1
H1ST,ST,S,T,2,14,Mill Race,1
H1ST,ST,S,T,2,20,Mill Race,1
H1ST,ST,S,T,2,21,Mill Race,1
H1ST,ST,S,T,2,22,Mill Race,1
H1ST,ST,S,T,2,23,Mill Race,1
H1ST,ST,S,T,2,24,Mill Race,1
H1ST,ST,S,T,2,25,Mill Race,1
H1ST,ST,S,T,2,26,Mill Race,1
H1ST,ST,S,T,2,27,Mill Race,1
H1ST,ST,S,T,2,28,Mill Race,1
H1WX,WX,X,W,2,6,Mill Race,1
H1WX,WX,X,W,3,7,Mill Race,1
H1WX,WX,X,W,4,8,Mill Race,1
H1WX,WX,X,W,5,9,Mill Race,1
H1WX,WX,X,W,6,10,Mill Race,1
H1WX,WX,X,W,7,11,Mill Race,1
H1WX,WX,X,W,8,12,Mill Race,1
H1WX,WX,X,W,9,13,Mill Race,1
H1WX,WX,X,W,10,14,Mill Race,1
H1WX,WX,X,W,11,20,Mill Race,1
H1WX,WX,X,W,12,21,Mill Race,1
H1WX,WX,X,W,13,22,Mill Race,1
H1WX,WX,X,W,14,23,Mill Race,1
H1WX,WX,X,W,15,24,Mill Race,1
H1WX,WX,X,W,16,25,Mill Race,1
H1WX,WX,X,W,17,26,Mill Race,1
H1WX,WX,X,W,18,27,Mill Race,1
H1WX,WX,X,W,19,28,Mill Race,1
