RackBase,Row,Front,Rear,Floor,TileNumber,Building,Hall
H1CD6,CD,C,D,2,6,Mill Race,1
H1CD7,CD,C,D,2,7,Mill Race,1
H1CD8,CD,C,D,2,8,Mill Race,1
H1CD9,CD,C,D,2,9,Mill Race,1
H1CD10,CD,C,D,2,10,Mill Race,1
H1CD11,CD,C,D,2,11,Mill Race,1
H1CD12,CD,C,D,2,12,Mill Race,1
H1CD13,CD,C,D,2,13,Mill Race,1
H1CD14,CD,C,D,2,14,Mill Race,1
H1CD20,CD,C,D,2,20,Mill Race,1
H1CD21,CD,C,D,2,21,Mill Race,1
H1CD22,CD,C,D,2,22,Mill Race,1
H1CD23,CD,C,D,2,23,Mill Race,1
H1CD24,CD,C,D,2,24,Mill Race,1
H1CD25,CD,C,D,2,25,Mill Race,1
H1CD26,CD,C,D,2,26,Mill Race,1
H1CD27,CD,C,D,2,27,Mill Race,1
H1CD28,CD,C,D,2,28,Mill Race,1
H1GH6,GH,H,G,2,6,Mill Race,1
H1GH7,GH,H,G,2,7,Mill Race,1
H1GH8,GH,H,G,2,8,Mill Race,1
H1GH9,GH,H,G,2,9,Mill Race,1
H1GH10,GH,H,G,2,10,Mill Race,1
H1GH11,GH,H,G,2,11,Mill Race,1
H1GH12,GH,H,G,2,12,Mill Race,1
H1GH13,GH,H,G,2,13,Mill Race,1
H1GH14,GH,H,G,2,14,Mill Race,1
H1GH20,GH,H,G,2,20,Mill Race,1
H1GH21,GH,H,G,2,21,Mill Race,1
H1GH22,GH,H,G,2,22,Mill Race,1
H1GH23,GH,H,G,2,23,Mill Race,1
H1GH24,GH,H,G,2,24,Mill Race,1
H1GH25,GH,H,G,2,25,Mill Race,1
H1GH26,GH,H,G,2,26,Mill Race,1
H1GH27,GH,H,G,2,27,Mill Race,1
H1GH28,GH,H,G,2,28,Mill Race,1
H1KL6,KL,K,L,2,6,Mill Race,1
H1KL7,KL,K,L,2,7,Mill Race,1
H1KL8,KL,K,L,2,8,Mill Race,1
H1KL9,KL,K,L,2,9,Mill Race,1
H1KL10,KL,K,L,2,10,Mill Race,1
H1KL11,KL,K,L,2,11,Mill Race,1
H1KL12,KL,K,L,2,12,Mill Race,1
H1KL13,KL,K,L,2,13,Mill Race,1
H1KL14,KL,K,L,2,14,Mill Race,1
H1KL20,KL,K,L,2,20,Mill Race,1
H1KL21,KL,K,L,2,21,Mill Race,1
H1KL22,KL,K,L,2,22,Mill Race,1
H1KL23,KL,K,L,2,23,Mill Race,1
H1KL24,KL,K,L,2,24,Mill Race,1
H1KL25,KL,K,L,2,25,Mill Race,1
H1KL26,KL,K,L,2,26,Mill Race,1
H1KL27,KL,K,L,2,27,Mill Race,1
H1KL28,KL,K,L,2,28,Mill Race,1
H1OP6,OP,P,O,2,6,Mill Race,1
H1OP7,OP,P,O,2,7,Mill Race,1
H1OP8,OP,P,O,2,8,Mill Race,1
H1OP9,OP,P,O,2,9,Mill Race,1
H1OP10,OP,P,O,2,10,Mill Race,1
H1OP11,OP,P,O,2,11,Mill Race,1
H1OP12,OP,P,O,2,12,Mill Race,1
H1OP13,OP,P,O,2,13,Mill Race,1
H1OP14,OP,P,O,2,14,Mill Race,1
H1OP20,OP,P,O,2,20,Mill Race,1
H1OP21,OP,P,O,2,21,Mill Race,1
H1OP22,OP,P,O,2,22,Mill Race,1
H1OP23,OP,P,O,2,23,Mill Race,1
H1OP24,OP,P,O,2,24,Mill Race,1
H1OP25,OP,P,O,2,25,Mill Race,1
H1OP26,OP,P,O,2,26,Mill Race,1
H1OP27,OP,P,O,2,27,Mill Race,1
H1OP28,OP,P,O,2,28,Mill Race,1
H1ST6,ST,S,T,2,6,Mill Race,1
H1ST7,ST,S,T,2,7,Mill Race,1
H1ST8,ST,S,T,2,8,Mill Race,1
H1ST9,ST,S,T,2,9,Mill Race,1
H1ST10,ST,S,T,2,10,Mill Race,1
H1ST11,ST,S,T,2,11,Mill Race,1
H1ST12,ST,S,T,2,12,Mill Race,1
H1ST13,ST,S,T,2,13,Mill Race,1
H1ST14,ST,S,T,2,14,Mill Race,1
H1ST20,ST,S,T,2,20,Mill Race,1
H1ST21,ST,S,T,2,21,Mill Race,1
H1ST22,ST,S,T,2,22,Mill Race,1
H1ST23,ST,S,T,2,23,Mill Race,1
H1ST24,ST,S,T,2,24,Mill Race,1
H1ST25,ST,S,T,2,25,Mill Race,1
H1ST26,ST,S,T,2,26,Mill Race,1
H1ST27,ST,S,T,2,27,Mill Race,1
H1ST28,ST,S,T,2,28,Mill Race,1
H1WX6,WX,X,W,2,6,Mill Race,1
H1WX7,WX,X,W,2,7,Mill Race,1
H1WX8,WX,X,W,2,8,Mill Race,1
H1WX9,WX,X,W,2,9,Mill Race,1
H1WX10,WX,X,W,2,10,Mill Race,1
H1WX11,WX,X,W,2,11,Mill Race,1
H1WX12,WX,X,W,2,12,Mill Race,1
H1WX13,WX,X,W,2,13,Mill Race,1
H1WX14,WX,X,W,2,14,Mill Race,1
H1WX20,WX,X,W,2,20,Mill Race,1
H1WX21,WX,X,W,2,21,Mill Race,1
H1WX22,WX,X,W,2,22,Mill Race,1
H1WX23,WX,X,W,2,23,Mill Race,1
H1WX24,WX,X,W,2,24,Mill Race,1
H1WX25,WX,X,W,2,25,Mill Race,1
H1WX26,WX,X,W,2,26,Mill Race,1
H1WX27,WX,X,W,2,27,Mill Race,1
H1WX28,WX,X,W,2,28,Mill Race,1
